method,p,n,theta,error,error_max,error_min,trial,std
PPI,10,100,-0.10301139176973335,0.007571981706696899,0.029159002862203635,7.094819038830024e-08,,
Classical,10,100,-0.10301139176973335,0.007571981706696898,0.029159002862203597,7.094819038824111e-08,0.0,1.0
PPI,10,100,-0.10301139176973335,0.0056172364544115625,0.03118574062057635,2.685159460271731e-06,,
Classical,10,100,-0.10301139176973335,0.0056172364544115625,0.03118574062057635,2.685159460271777e-06,1.0,1.0
PPI,10,100,-0.10301139176973335,0.0056895937373589705,0.014747462002062867,1.6664449230228373e-05,,
Classical,10,100,-0.10301139176973335,0.005689593737358973,0.01474746200206288,1.6664449230226557e-05,2.0,1.0
PPI,10,100,-0.10301139176973335,0.013267312278043236,0.06768781258345354,4.435851172888309e-05,,
Classical,10,100,-0.10301139176973335,0.013267312278043236,0.06768781258345354,4.435851172888309e-05,3.0,1.0
PPI,10,100,-0.10301139176973335,0.008977886599806134,0.03509436793739713,0.00034435593037877654,,
Classical,10,100,-0.10301139176973335,0.008977886599806134,0.03509436793739713,0.0003443559303787771,4.0,1.0
PPI,10,100,-0.10301139176973335,0.01891267413864055,0.0735665058684868,0.0005272926574519796,,
Classical,10,100,-0.10301139176973335,0.01891267413864057,0.07356650586848684,0.0005272926574519809,5.0,1.0
PPI,10,100,-0.10301139176973335,0.011016507397333399,0.038558762603932095,0.00015611408318811192,,
Classical,10,100,-0.10301139176973335,0.011016507397333399,0.038558762603932095,0.00015611408318811192,6.0,1.0
PPI,10,100,-0.10301139176973335,0.009310389841579753,0.04012990355240136,0.0003973953297085696,,
Classical,10,100,-0.10301139176973335,0.009310389841579754,0.04012990355240136,0.00039739532970857185,7.0,1.0
PPI,10,100,-0.10301139176973335,0.008698661846698036,0.03652189588575721,0.00013446649377510492,,
Classical,10,100,-0.10301139176973335,0.008698661846698036,0.03652189588575721,0.0001344664937751062,8.0,1.0
PPI,10,100,-0.10301139176973335,0.01233224092607576,0.053381881418427805,0.0002714445985157879,,
Classical,10,100,-0.10301139176973335,0.012332240926075757,0.053381881418427805,0.0002714445985157874,9.0,1.0
PPI,20,100,0.08760148861103867,0.005475584253335769,0.022280937212573383,7.265894002851267e-08,,
Classical,20,100,0.08760148861103867,0.005475584253335765,0.02228093721257325,7.265894002863238e-08,0.0,1.0
PPI,20,100,0.08760148861103867,0.010175416845272716,0.06766395723308595,0.00015701555772463634,,
Classical,20,100,0.08760148861103867,0.010175416845272716,0.06766395723308595,0.00015701555772463634,1.0,1.0
PPI,20,100,0.08760148861103867,0.023430558564923938,0.0794780613786485,0.00011862052169416572,,
Classical,20,100,0.08760148861103867,0.023430558564923938,0.0794780613786485,0.00011862052169416572,2.0,1.0
PPI,20,100,0.08760148861103867,0.011817578685406494,0.04661024262795497,2.5787900506273165e-07,,
Classical,20,100,0.08760148861103867,0.011817578685406505,0.046610242627955,2.5787900506273165e-07,3.0,1.0
PPI,20,100,0.08760148861103867,0.009900009958665695,0.0672904394967151,0.00021300298703457764,,
Classical,20,100,0.08760148861103867,0.009900009958665695,0.0672904394967151,0.00021300298703457926,4.0,1.0
PPI,20,100,0.08760148861103867,0.017035249749211834,0.10403068860333212,4.969716426990466e-05,,
Classical,20,100,0.08760148861103867,0.017035249749211827,0.10403068860333183,4.9697164269903095e-05,5.0,1.0
PPI,20,100,0.08760148861103867,0.009791189431673078,0.04164429261067297,3.921496339562538e-05,,
Classical,20,100,0.08760148861103867,0.009791189431673078,0.04164429261067297,3.921496339562538e-05,6.0,1.0
PPI,20,100,0.08760148861103867,0.01689874980334594,0.08735220070649032,2.052761106765689e-06,,
Classical,20,100,0.08760148861103867,0.016898749803345933,0.08735220070649025,2.052761106765689e-06,7.0,1.0
PPI,20,100,0.08760148861103867,0.00929825578906281,0.04040738211181199,0.0002856991500098625,,
Classical,20,100,0.08760148861103867,0.00929825578906281,0.04040738211181199,0.0002856991500098625,8.0,1.0
PPI,20,100,0.08760148861103867,0.01639413682310515,0.059860059693853815,0.0009431462935930224,,
Classical,20,100,0.08760148861103867,0.016394136823105154,0.059860059693853815,0.0009431462935930224,9.0,1.0
PPI,50,100,0.1624047554653561,0.017115628337013026,0.0982087197117114,8.878088390248028e-07,,
Classical,50,100,0.1624047554653561,0.017115628337013026,0.0982087197117114,8.878088390248028e-07,0.0,1.0
PPI,50,100,0.1624047554653561,0.026415013029409275,0.1837982625906702,2.6662759835658235e-06,,
Classical,50,100,0.1624047554653561,0.026415013029409275,0.1837982625906702,2.666275983565914e-06,1.0,1.0
PPI,50,100,0.1624047554653561,0.03263699390595095,0.2785211749872914,6.253605062970112e-06,,
Classical,50,100,0.1624047554653561,0.03263699390595094,0.2785211749872914,6.253605062970112e-06,2.0,1.0
PPI,50,100,0.1624047554653561,0.012325266414263484,0.10526421643556215,2.829307852558573e-07,,
Classical,50,100,0.1624047554653561,0.01232526641426348,0.105264216435562,2.8293078525621163e-07,3.0,1.0
PPI,50,100,0.1624047554653561,0.02483060177582706,0.14001409468975265,4.495400829074645e-06,,
Classical,50,100,0.1624047554653561,0.02483060177582706,0.14001409468975265,4.495400829075587e-06,4.0,1.0
PPI,50,100,0.1624047554653561,0.02910056715115865,0.11503573195555694,8.678622154653535e-05,,
Classical,50,100,0.1624047554653561,0.02910056715115865,0.11503573195555701,8.678622154653949e-05,5.0,1.0
PPI,50,100,0.1624047554653561,0.01673605884683669,0.14287233288164358,5.2996974661732127e-05,,
Classical,50,100,0.1624047554653561,0.01673605884683669,0.14287233288164358,5.2996974661732127e-05,6.0,1.0
PPI,50,100,0.1624047554653561,0.013306467567433797,0.0906966502431188,8.807269965324534e-06,,
Classical,50,100,0.1624047554653561,0.0133064675674338,0.0906966502431188,8.807269965324534e-06,7.0,1.0
PPI,50,100,0.1624047554653561,0.015136564801861329,0.10638793194431798,2.7818002877671307e-06,,
Classical,50,100,0.1624047554653561,0.015136564801861334,0.10638793194431798,2.78180028776639e-06,8.0,1.0
PPI,50,100,0.1624047554653561,0.02630608346364648,0.1309164755373299,2.0565867702711706e-09,,
Classical,50,100,0.1624047554653561,0.02630608346364648,0.1309164755373299,2.0565867702711706e-09,9.0,1.0
PPI,100,100,0.06795355334895492,0.7246927773151682,4.557538224386779,2.9388338903379942e-05,,
Classical,100,100,0.06795355334895492,0.7246927773151682,4.557538224386779,2.9388338903379942e-05,0.0,1.0
PPI,100,100,0.06795355334895492,3.7095459451475263,38.702913195530364,5.519154590379093e-06,,
Classical,100,100,0.06795355334895492,3.7095459451475263,38.702913195530364,5.519154590379093e-06,1.0,1.0
PPI,100,100,0.06795355334895492,1.4231562002235973,10.685510726295394,0.0013693767278940797,,
Classical,100,100,0.06795355334895492,1.4231562002235973,10.685510726295394,0.0013693767278940797,2.0,1.0
PPI,100,100,0.06795355334895492,1.1426773098831517,10.615508922315582,0.00035892266473641973,,
Classical,100,100,0.06795355334895492,1.1426773098831517,10.615508922315582,0.00035892266473641973,3.0,1.0
PPI,100,100,0.06795355334895492,6.191754919662735,41.3840186720963,9.117358553408178e-05,,
Classical,100,100,0.06795355334895492,6.191754919662735,41.3840186720963,9.117358553408178e-05,4.0,1.0
PPI,100,100,0.06795355334895492,1.5279381863275483,10.800864897649086,4.0376807438609864e-05,,
Classical,100,100,0.06795355334895492,1.5279381863275483,10.800864897649086,4.0376807438609864e-05,5.0,1.0
PPI,100,100,0.06795355334895492,5.746346968558658,56.211803391818854,8.939811354674988e-05,,
Classical,100,100,0.06795355334895492,5.746346968558658,56.211803391818854,8.939811354674988e-05,6.0,1.0
PPI,100,100,0.06795355334895492,16.987096222632488,116.34982492207314,0.0013322661995531844,,
Classical,100,100,0.06795355334895492,16.987096222632488,116.34982492207314,0.0013322661995531844,7.0,1.0
PPI,100,100,0.06795355334895492,0.4627239395977075,2.900295649075316,0.00013915617011060007,,
Classical,100,100,0.06795355334895492,0.4627239395977075,2.900295649075316,0.00013915617011060007,8.0,1.0
PPI,100,100,0.06795355334895492,67.60651571012225,424.3722040077858,0.0007618201226749096,,
Classical,100,100,0.06795355334895492,67.60651571012225,424.3722040077858,0.0007618201226749096,9.0,1.0
PPI,200,100,0.002777433707147029,0.18955696870766456,1.6572565455781514,2.1953635956138712e-07,,
Classical,200,100,0.002777433707147029,0.1895569687076649,1.657256545578155,2.1953635956134485e-07,0.0,1.0
PPI,200,100,0.002777433707147029,0.18835067913784814,1.6711168515487747,1.3952900394519608e-05,,
Classical,200,100,0.002777433707147029,0.18835067913784814,1.6711168515487747,1.3952900394519608e-05,1.0,1.0
PPI,200,100,0.002777433707147029,0.17265724529719315,1.1479968192181262,1.06059568006089e-06,,
Classical,200,100,0.002777433707147029,0.17265724529719315,1.1479968192181262,1.06059568006089e-06,2.0,1.0
PPI,200,100,0.002777433707147029,0.1429092551300799,1.2843460910124163,1.091728197306339e-05,,
Classical,200,100,0.002777433707147029,0.1429092551300799,1.2843460910124163,1.091728197306339e-05,3.0,1.0
PPI,200,100,0.002777433707147029,0.1756230637835715,1.3479874584287421,3.029387195976598e-07,,
Classical,200,100,0.002777433707147029,0.1756230637835715,1.3479874584287421,3.029387195976598e-07,4.0,1.0
PPI,200,100,0.002777433707147029,0.19051543519236872,1.3525442469393865,4.54482486417262e-06,,
Classical,200,100,0.002777433707147029,0.19051543519236872,1.3525442469393865,4.54482486417262e-06,5.0,1.0
PPI,200,100,0.002777433707147029,0.18880113234075005,1.3219620748554255,2.6005289796925825e-05,,
Classical,200,100,0.002777433707147029,0.18880113234075024,1.3219620748554266,2.6005289796927523e-05,6.0,1.0
PPI,200,100,0.002777433707147029,0.18368444370480808,1.672291019598454,4.862253744934534e-05,,
Classical,200,100,0.002777433707147029,0.18368444370480902,1.6722910195984613,4.862253744934921e-05,7.0,1.0
PPI,200,100,0.002777433707147029,0.1658910135412883,1.937315934173398,6.498213268124732e-06,,
Classical,200,100,0.002777433707147029,0.165891013541289,1.9373159341734054,6.498213268126146e-06,8.0,1.0
PPI,200,100,0.002777433707147029,0.1364563359706223,1.2157808403083818,1.8623992796233985e-09,,
Classical,200,100,0.002777433707147029,0.1364563359706229,1.2157808403083874,1.8623992796305853e-09,9.0,1.0
PPI,500,100,-0.03827501365582863,0.28422608743105676,1.570375904269686,1.185841225811035e-05,,
Classical,500,100,-0.03827501365582863,0.28422608743105676,1.570375904269686,1.185841225811035e-05,0.0,1.0
PPI,500,100,-0.03827501365582863,0.2815722543180621,1.5100179403916016,5.835652577469616e-07,,
Classical,500,100,-0.03827501365582863,0.2815722543180621,1.5100179403916016,5.835652577469616e-07,1.0,1.0
PPI,500,100,-0.03827501365582863,0.2868906424658718,2.0664758116861868,2.5550211485431993e-08,,
Classical,500,100,-0.03827501365582863,0.2868906424658753,2.0664758116862143,2.5550211485520723e-08,2.0,1.0
PPI,500,100,-0.03827501365582863,0.2828203083796812,1.901024393508925,5.507769492974421e-05,,
Classical,500,100,-0.03827501365582863,0.28282030837968586,1.901024393508957,5.507769492974215e-05,3.0,1.0
PPI,500,100,-0.03827501365582863,0.2649225366722478,2.489556342400889,2.4496161841978272e-05,,
Classical,500,100,-0.03827501365582863,0.2649225366722478,2.489556342400889,2.4496161841978272e-05,4.0,1.0
PPI,500,100,-0.03827501365582863,0.2803726603591782,1.5607098063615379,3.214431361510457e-08,,
Classical,500,100,-0.03827501365582863,0.2803726603591782,1.5607098063615379,3.214431361510457e-08,5.0,1.0
PPI,500,100,-0.03827501365582863,0.2696841910297946,1.9655179249772963,7.264780692199754e-06,,
Classical,500,100,-0.03827501365582863,0.2696841910297946,1.9655179249772963,7.264780692199754e-06,6.0,1.0
PPI,500,100,-0.03827501365582863,0.29466051458363357,1.8386319123818344,2.0671911638269122e-06,,
Classical,500,100,-0.03827501365582863,0.29466051458363357,1.8386319123818344,2.0671911638269122e-06,7.0,1.0
PPI,500,100,-0.03827501365582863,0.2866749427226647,1.7807202125537636,3.367258428359804e-07,,
Classical,500,100,-0.03827501365582863,0.2866749427226748,1.7807202125538282,3.367258428350463e-07,8.0,1.0
PPI,500,100,-0.03827501365582863,0.27028243143633457,1.4753285501274185,1.5834019367521405e-07,,
Classical,500,100,-0.03827501365582863,0.27028243143634356,1.4753285501274687,1.5834019367543494e-07,9.0,1.0
PPI,1000,100,-0.005880322176391396,0.29737885867294905,1.3713855998571216,1.7285751872343005e-06,,
Classical,1000,100,-0.005880322176391396,0.2973788586729648,1.3713855998571955,1.728575187233899e-06,0.0,1.0
PPI,1000,100,-0.005880322176391396,0.29730449793825503,1.4875383069765131,1.5902820643928054e-06,,
Classical,1000,100,-0.005880322176391396,0.29730449793825503,1.4875383069765131,1.5902820643928054e-06,1.0,1.0
PPI,1000,100,-0.005880322176391396,0.3010760441406287,1.9173138124712883,2.2253370335473743e-07,,
Classical,1000,100,-0.005880322176391396,0.30107604414065026,1.9173138124714253,2.2253370335554923e-07,2.0,1.0
PPI,1000,100,-0.005880322176391396,0.29851355174868593,1.6454610613954863,3.6553811496051376e-06,,
Classical,1000,100,-0.005880322176391396,0.29851355174868593,1.6454610613954863,3.6553811496051376e-06,3.0,1.0
PPI,1000,100,-0.005880322176391396,0.29980138533628586,1.8787710055607132,6.992824785695465e-08,,
Classical,1000,100,-0.005880322176391396,0.299801385336319,1.878771005560924,6.992824785597114e-08,4.0,1.0
PPI,1000,100,-0.005880322176391396,0.30168005974482676,1.6914701645720223,7.389010395906568e-06,,
Classical,1000,100,-0.005880322176391396,0.30168005974482676,1.6914701645720223,7.389010395906568e-06,5.0,1.0
PPI,1000,100,-0.005880322176391396,0.2965268429418202,1.6837859018507533,2.945447758599958e-06,,
Classical,1000,100,-0.005880322176391396,0.2965268429418405,1.683785901850868,2.9454477586014824e-06,6.0,1.0
PPI,1000,100,-0.005880322176391396,0.30312952267083537,1.6280271129718404,3.6086740532917237e-06,,
Classical,1000,100,-0.005880322176391396,0.30312952267083537,1.6280271129718404,3.6086740532917237e-06,7.0,1.0
PPI,1000,100,-0.005880322176391396,0.2992259636712505,1.5868380258849228,1.5203406042558836e-06,,
Classical,1000,100,-0.005880322176391396,0.2992259636712641,1.5868380258849966,1.520340604256705e-06,8.0,1.0
PPI,1000,100,-0.005880322176391396,0.2968251013997007,1.473718312059819,3.699644819824212e-07,,
Classical,1000,100,-0.005880322176391396,0.2968251013997007,1.473718312059819,3.699644819824212e-07,9.0,1.0
PPI,5000,100,0.012048186507044872,0.19875013056513774,2.4726797467757593,2.9579878389669754e-09,,
Classical,5000,100,0.012048186507044872,0.32616832596517026,1.3830275513210102,2.666791031288501e-10,0.0,1.0
PPI,5000,100,0.012048186507044872,0.32725008635774655,1.437276784848888,2.2465057390378107e-08,,
Classical,5000,100,0.012048186507044872,,,,1.0,1.0
PPI,5000,100,0.012048186507044872,0.31007063799039636,1.2609121354598405,1.509155956575642e-07,,
Classical,5000,100,0.012048186507044872,0.32772254303323295,1.3742553555600077,1.1281189387989031e-07,2.0,1.0
PPI,5000,100,0.012048186507044872,0.25801926972892586,1.3105894587710132,4.407617039695598e-07,,
Classical,5000,100,0.012048186507044872,,,,3.0,1.0
PPI,5000,100,0.012048186507044872,0.3263878006153237,1.341034506237212,1.651030355554081e-08,,
Classical,5000,100,0.012048186507044872,0.3263878006153237,1.341034506237212,1.651030355554081e-08,4.0,1.0
PPI,5000,100,0.012048186507044872,0.23680532795811915,1.2922158881486052,2.1646369508168875e-09,,
Classical,5000,100,0.012048186507044872,0.3270069250424802,1.4786312953459229,1.5404580845796018e-08,5.0,1.0
PPI,5000,100,0.012048186507044872,0.22142892956111182,1.4856010899208958,2.251894915405672e-08,,
Classical,5000,100,0.012048186507044872,0.32596574838656345,1.475591450132247,3.259270044239705e-08,6.0,1.0
PPI,5000,100,0.012048186507044872,0.2456702969406434,1.3186630717622152,4.124820506280428e-08,,
Classical,5000,100,0.012048186507044872,,,,7.0,1.0
PPI,5000,100,0.012048186507044872,0.2587386058586565,1.3439572303749874,2.458164239912955e-08,,
Classical,5000,100,0.012048186507044872,,,,8.0,1.0
PPI,5000,100,0.012048186507044872,0.26179423981259486,1.26129007650458,9.329580601401089e-09,,
Classical,5000,100,0.012048186507044872,,,,9.0,1.0
