method,p,n,trial,std,lam,theta,error,error_max,error_min
Classical,100,100,15,1.0,,0.013463927799323268,3.910477762990802,32.21551272091042,4.8662084167141866e-05
PPI,100,100,16,1.0,1.0,0.013463927799323268,24.260843848987758,240.85642779134403,0.00022195017367892468
Classical,100,100,16,1.0,,0.013463927799323268,24.260843848987903,240.85642779134525,0.00022195017367892137
PPI,100,100,17,1.0,1.0,0.013463927799323268,3.617135431665963,17.282072661162506,0.00010508169047641391
Classical,100,100,17,1.0,,0.013463927799323268,3.6171354316659516,17.282072661162506,0.00010508169047615897
PPI,100,100,18,1.0,1.0,0.013463927799323268,37.14651641576941,279.1049086467487,0.0015442758639867481
Classical,100,100,18,1.0,,0.013463927799323268,37.14651641576892,279.1049086467448,0.0015442758639851075
PPI,100,100,19,1.0,1.0,0.013463927799323268,2.4653542349225073,17.549944814216204,0.001114711343187545
Classical,100,100,19,1.0,,0.013463927799323268,2.4653542349224953,17.549944814216172,0.0011147113431877564
PPI,100,100,20,1.0,1.0,0.013463927799323268,121.10483926319115,1142.836334177534,0.0003340726107718292
Classical,100,100,20,1.0,,0.013463927799323268,121.10483926318739,1142.8363341774939,0.00033407261077186877
PPI,100,100,21,1.0,1.0,0.013463927799323268,0.8473793786805992,6.384624348780301,0.0009632473785691406
Classical,100,100,21,1.0,,0.013463927799323268,0.8473793786805883,6.38462434878022,0.0009632473785694025
PPI,100,100,22,1.0,1.0,0.013463927799323268,0.5201583062484906,4.891537541521946,6.507367566773364e-06
Classical,100,100,22,1.0,,0.013463927799323268,0.520158306248481,4.89153754152185,6.5073675667920555e-06
PPI,100,100,23,1.0,1.0,0.013463927799323268,1.9355070879012721,10.887928503970782,0.0001130381700607605
Classical,100,100,23,1.0,,0.013463927799323268,1.9355070879012504,10.8879285039706,0.00011303817006076523
PPI,100,100,24,1.0,1.0,0.013463927799323268,30.362150732761023,184.18115188125344,0.004469988404470104
Classical,100,100,24,1.0,,0.013463927799323268,30.362150732760938,184.18115188125265,0.004469988404469763
PPI,100,100,25,1.0,1.0,0.013463927799323268,10.498089314399099,77.44292099711058,9.397141172022178e-05
Classical,100,100,25,1.0,,0.013463927799323268,10.498089314399142,77.4429209971105,9.397141172021102e-05
PPI,100,100,26,1.0,1.0,0.013463927799323268,2.137656104420109,17.31645238956636,0.0005108499171843038
Classical,100,100,26,1.0,,0.013463927799323268,2.1376561044201714,17.31645238956691,0.0005108499171842473
PPI,100,100,27,1.0,1.0,0.013463927799323268,729.4078750057421,4100.611047740227,0.02093216832200782
Classical,100,100,27,1.0,,0.013463927799323268,729.407875005738,4100.611047740205,0.02093216832200684
PPI,100,100,28,1.0,1.0,0.013463927799323268,1.1049819517595234,8.950308633683836,0.0011154326083398542
Classical,100,100,28,1.0,,0.013463927799323268,1.1049819517595112,8.950308633683713,0.0011154326083398672
PPI,100,100,29,1.0,1.0,0.013463927799323268,4.077334374805622,39.9764148935366,0.00018849983706768287
Classical,100,100,29,1.0,,0.013463927799323268,4.077334374805576,39.976414893536244,0.00018849983706759445
PPI,200,100,0,1.0,1.0,-0.04564845332466769,0.004059774613664745,0.030246737302391254,3.2607336768458504e-07
Classical,200,100,0,1.0,,-0.04564845332466769,0.17756587937859994,1.5351577714417286,3.778071781143029e-09
PPI,200,100,1,1.0,1.0,-0.04564845332466769,0.0052601802681027056,0.052824735110119925,1.2838047197797326e-07
Classical,200,100,1,1.0,,-0.04564845332466769,0.17277845108232065,1.3832900232090743,6.482231344535186e-07
PPI,200,100,2,1.0,1.0,-0.04564845332466769,0.005573285193428748,0.0820807636208296,1.064368813426529e-06
Classical,200,100,2,1.0,,-0.04564845332466769,0.19041972646818614,1.7384781111871161,4.036438965959884e-09
PPI,200,100,3,1.0,1.0,-0.04564845332466769,0.004963961566784977,0.0780528378412758,3.1414074531609706e-08
Classical,200,100,3,1.0,,-0.04564845332466769,0.18640356773058567,1.1269893608921302,7.237733762250004e-06
PPI,200,100,4,1.0,1.0,-0.04564845332466769,0.006685765939774484,0.05177534105568876,9.038429905779332e-08
Classical,200,100,4,1.0,,-0.04564845332466769,0.16006587938651223,1.5075452369135736,1.3556684238007506e-06
PPI,200,100,5,1.0,1.0,-0.04564845332466769,0.005711386479254659,0.053829441455376034,8.984694192729623e-07
Classical,200,100,5,1.0,,-0.04564845332466769,0.17554422731328775,1.122557925468315,5.041191141123861e-06
PPI,200,100,6,1.0,1.0,-0.04564845332466769,0.005094322425000782,0.03896151733097069,2.7376851581250327e-08
Classical,200,100,6,1.0,,-0.04564845332466769,0.14493291125636823,0.840765863458975,5.966943097159197e-07
PPI,200,100,7,1.0,1.0,-0.04564845332466769,0.004633874693564127,0.043334020257991525,6.954343786524803e-07
Classical,200,100,7,1.0,,-0.04564845332466769,0.19370356250034526,1.7141513557396353,1.0605392424328138e-05
PPI,200,100,8,1.0,1.0,-0.04564845332466769,0.004708727071910784,0.034629253033523814,4.0588343500191106e-07
Classical,200,100,8,1.0,,-0.04564845332466769,0.1875935622389292,1.7870753276625397,1.4447069905763231e-05
PPI,200,100,9,1.0,1.0,-0.04564845332466769,0.004925371109919362,0.03838361400666475,3.459341736316898e-07
Classical,200,100,9,1.0,,-0.04564845332466769,0.17859364962167718,2.0030507522549117,1.225327969074955e-06
PPI,200,100,10,1.0,1.0,-0.04564845332466769,0.005884083676384013,0.04327061923262073,2.317709096261328e-06
Classical,200,100,10,1.0,,-0.04564845332466769,0.16570486979454901,1.3824781883328847,0.0005847577046506152
PPI,200,100,11,1.0,1.0,-0.04564845332466769,0.00564849984185757,0.04262882705820743,3.2126116958187495e-09
Classical,200,100,11,1.0,,-0.04564845332466769,0.19293778446777707,1.4863894430046447,3.748151369896695e-09
PPI,200,100,12,1.0,1.0,-0.04564845332466769,0.004492977956761507,0.03147967405791854,3.2114601545173347e-09
Classical,200,100,12,1.0,,-0.04564845332466769,0.19208780321744942,1.5123478303370634,2.379215967301965e-06
PPI,200,100,13,1.0,1.0,-0.04564845332466769,0.0043304003307652154,0.046844104913142434,7.587759451288373e-10
Classical,200,100,13,1.0,,-0.04564845332466769,0.1314265292501149,1.0861075822168238,2.027455374940496e-07
PPI,200,100,14,1.0,1.0,-0.04564845332466769,0.005744297388795985,0.04403567332489807,5.0867003895341445e-06
Classical,200,100,14,1.0,,-0.04564845332466769,0.16178998353531426,1.1153316129050035,9.964836641470235e-08
PPI,200,100,15,1.0,1.0,-0.04564845332466769,0.004422976347145852,0.0578617056988366,1.3024141883801193e-10
Classical,200,100,15,1.0,,-0.04564845332466769,0.19338274314291698,1.043562249836473,2.7248206695502488e-06
PPI,200,100,16,1.0,1.0,-0.04564845332466769,0.00512193838955295,0.040733251431713725,2.496545779300802e-09
Classical,200,100,16,1.0,,-0.04564845332466769,0.18152274359132803,1.159633404025151,7.661996403225796e-06
PPI,200,100,17,1.0,1.0,-0.04564845332466769,0.006681022537208164,0.06079183262908126,7.985949730286575e-08
Classical,200,100,17,1.0,,-0.04564845332466769,0.1404247866778056,1.2138568426133312,4.499951713338146e-08
PPI,200,100,18,1.0,1.0,-0.04564845332466769,0.0039123964865680145,0.044110477929237626,1.1995185325798269e-06
Classical,200,100,18,1.0,,-0.04564845332466769,0.1932573994577721,1.2954187723719366,1.7054681597656054e-06
PPI,200,100,19,1.0,1.0,-0.04564845332466769,0.0048048793728868305,0.03653853040541516,2.3956465505045726e-08
Classical,200,100,19,1.0,,-0.04564845332466769,0.18284624050242212,1.5413128043441187,9.165981193325512e-08
PPI,200,100,20,1.0,1.0,-0.04564845332466769,0.005057968188061832,0.044852578253837726,6.676149105253643e-07
Classical,200,100,20,1.0,,-0.04564845332466769,0.1705142301754043,1.179390062329655,5.770810680469482e-07
PPI,200,100,21,1.0,1.0,-0.04564845332466769,0.005051986671729552,0.06665923018598939,1.6965542204571737e-07
Classical,200,100,21,1.0,,-0.04564845332466769,0.16869729033551784,1.3448755642592547,1.4074877577354605e-06
PPI,200,100,22,1.0,1.0,-0.04564845332466769,0.004923044869531882,0.05240496516591122,1.8523044497983278e-07
Classical,200,100,22,1.0,,-0.04564845332466769,0.18262043816779985,1.430424484998599,9.867511358653253e-05
PPI,200,100,23,1.0,1.0,-0.04564845332466769,0.004325070884786606,0.03736670620161884,2.1918115817109541e-07
Classical,200,100,23,1.0,,-0.04564845332466769,0.15277418019416364,1.3302830764194367,6.918178352981106e-07
PPI,200,100,24,1.0,1.0,-0.04564845332466769,0.00516499367188898,0.045063486637087,6.4788991601282564e-09
Classical,200,100,24,1.0,,-0.04564845332466769,0.13092670693949782,0.7376567543552338,5.109310161352558e-08
PPI,200,100,25,1.0,1.0,-0.04564845332466769,0.006043500476349142,0.07092778841703157,2.980708961330254e-07
Classical,200,100,25,1.0,,-0.04564845332466769,0.1545593761445861,1.152748682053106,7.464241420063949e-06
PPI,200,100,26,1.0,1.0,-0.04564845332466769,0.00575632112412895,0.05515895847780322,2.692073583167204e-07
Classical,200,100,26,1.0,,-0.04564845332466769,0.17495409351937688,1.3202821133929972,1.3559725053337195e-05
PPI,200,100,27,1.0,1.0,-0.04564845332466769,0.004688496027799357,0.032964968242144704,5.202830308728301e-08
Classical,200,100,27,1.0,,-0.04564845332466769,0.17402113694706287,1.1853248533424818,9.272610189052372e-06
PPI,200,100,28,1.0,1.0,-0.04564845332466769,0.004339766531297432,0.02542588396758549,1.5270744075519054e-07
Classical,200,100,28,1.0,,-0.04564845332466769,0.1700802753083225,1.89894256310514,1.6284909335599257e-05
PPI,200,100,29,1.0,1.0,-0.04564845332466769,0.005463804639355831,0.072590817128205,2.7857549934187994e-07
Classical,200,100,29,1.0,,-0.04564845332466769,0.17452250903342928,1.1654589047640846,5.122599281144952e-07
PPI,500,100,0,1.0,1.0,-0.011809879501150632,0.0010349910790693189,0.011058170553372968,2.069564637550205e-10
Classical,500,100,0,1.0,,-0.011809879501150632,0.2627912345905486,1.3517869602766943,9.953637778317449e-07
PPI,500,100,1,1.0,1.0,-0.011809879501150632,0.0010392916764033196,0.011044543334807904,5.588700052669746e-10
Classical,500,100,1,1.0,,-0.011809879501150632,0.25180175842082614,1.5281508702744273,3.3495174182804976e-08
PPI,500,100,2,1.0,1.0,-0.011809879501150632,0.0009996890312928956,0.011691924308508489,7.21309294695826e-10
Classical,500,100,2,1.0,,-0.011809879501150632,0.25960697246070985,1.4024188697119424,7.657042343839356e-08
PPI,500,100,3,1.0,1.0,-0.011809879501150632,0.0010003427144048358,0.011571269958130861,4.772534413256198e-09
Classical,500,100,3,1.0,,-0.011809879501150632,0.2433375052883539,2.1564453579155534,2.540115541261117e-05
PPI,500,100,4,1.0,1.0,-0.011809879501150632,0.0009185576432507847,0.00944982841417568,1.597943101058378e-08
Classical,500,100,4,1.0,,-0.011809879501150632,0.26287713632799203,1.598947890852226,1.3781784002747886e-07
PPI,500,100,5,1.0,1.0,-0.011809879501150632,0.001141502779953997,0.013153680566087666,9.555516127335988e-09
Classical,500,100,5,1.0,,-0.011809879501150632,0.26165008416014496,1.754797351495576,1.5638991357839644e-07
PPI,500,100,6,1.0,1.0,-0.011809879501150632,0.000987652812117632,0.01008951368015759,9.008933659635018e-08
Classical,500,100,6,1.0,,-0.011809879501150632,0.2465534255601256,1.5609817577338305,2.5288265607759724e-07
PPI,500,100,7,1.0,1.0,-0.011809879501150632,0.00105200991141691,0.00912125516254827,6.29519302670922e-13
Classical,500,100,7,1.0,,-0.011809879501150632,0.26237682772613957,1.675430580432838,1.3422273963669679e-08
PPI,500,100,8,1.0,1.0,-0.011809879501150632,0.0010385522346074362,0.01199705799543133,3.0175805103411804e-09
Classical,500,100,8,1.0,,-0.011809879501150632,0.2677218094521632,1.6186508785775473,1.6171361087575954e-06
PPI,500,100,9,1.0,1.0,-0.011809879501150632,0.0011985195576604145,0.01711833149051785,2.017374748668975e-08
Classical,500,100,9,1.0,,-0.011809879501150632,0.2630678782221572,2.4580943959803134,6.778265413827413e-06
PPI,500,100,10,1.0,1.0,-0.011809879501150632,0.0009929965298605748,0.009104592318456395,1.316430806356992e-08
Classical,500,100,10,1.0,,-0.011809879501150632,0.25962643655361556,1.2896215125137311,1.197927452751906e-06
PPI,500,100,11,1.0,1.0,-0.011809879501150632,0.0009794501144162059,0.010948184810656488,8.620965858836747e-08
Classical,500,100,11,1.0,,-0.011809879501150632,0.26066329009458894,2.481594225642033,1.5498336909200033e-08
PPI,500,100,12,1.0,1.0,-0.011809879501150632,0.0010171506164945777,0.010067756172504126,3.641449711812655e-10
Classical,500,100,12,1.0,,-0.011809879501150632,0.2573221146797054,2.2874979673537545,5.483354099183547e-07
PPI,500,100,13,1.0,1.0,-0.011809879501150632,0.0011498197573464842,0.010822886553025496,9.233593070253133e-12
Classical,500,100,13,1.0,,-0.011809879501150632,0.2643403103452316,1.6473348913800039,1.1299568620463188e-05
PPI,500,100,14,1.0,1.0,-0.011809879501150632,0.0012155450682258316,0.01066289122317657,8.404106958469784e-09
Classical,500,100,14,1.0,,-0.011809879501150632,0.26822836850575177,1.5107965384472284,8.267046910773776e-06
PPI,500,100,15,1.0,1.0,-0.011809879501150632,0.0009923791528689354,0.008094978088050424,2.6393555691243447e-07
Classical,500,100,15,1.0,,-0.011809879501150632,0.25177388312732046,1.7152408028328665,4.463138776463811e-06
PPI,500,100,16,1.0,1.0,-0.011809879501150632,0.0011615210582366694,0.011931736647334476,1.7813202369608755e-10
Classical,500,100,16,1.0,,-0.011809879501150632,0.27237650485684006,1.8131842868952792,1.1589823078806729e-05
PPI,500,100,17,1.0,1.0,-0.011809879501150632,0.0009376740825918004,0.010128998225071436,8.048151953295413e-09
Classical,500,100,17,1.0,,-0.011809879501150632,0.2635646065598771,1.2629913124747734,5.397531231814065e-08
PPI,500,100,18,1.0,1.0,-0.011809879501150632,0.0011329941354369542,0.01567590375297506,6.027867464922436e-10
Classical,500,100,18,1.0,,-0.011809879501150632,0.27468283503767976,1.7986547080159652,7.127626662240807e-06
PPI,500,100,19,1.0,1.0,-0.011809879501150632,0.001090493942659828,0.019390591412656644,2.1997008294441035e-10
Classical,500,100,19,1.0,,-0.011809879501150632,0.2663194007328162,1.676529366442696,1.1907112054503727e-05
PPI,500,100,20,1.0,1.0,-0.011809879501150632,0.0010303142718963798,0.009417954035479322,1.581771709670816e-08
Classical,500,100,20,1.0,,-0.011809879501150632,0.2500177162978807,1.6878947657082386,1.9150129458093142e-05
PPI,500,100,21,1.0,1.0,-0.011809879501150632,0.0011609554578154645,0.012775289140511091,4.9716220866838514e-08
Classical,500,100,21,1.0,,-0.011809879501150632,0.26338879602937737,1.4507867166595843,8.413987535955443e-06
PPI,500,100,22,1.0,1.0,-0.011809879501150632,0.0010586018780153778,0.009037006611094479,1.4226316154021149e-10
Classical,500,100,22,1.0,,-0.011809879501150632,0.2474621822293452,2.1840199238770435,9.079901004729036e-07
PPI,500,100,23,1.0,1.0,-0.011809879501150632,0.0012044646298477635,0.013247193605804447,5.0446334120133455e-09
Classical,500,100,23,1.0,,-0.011809879501150632,0.2564935940984795,2.0257090358621612,5.350629358322124e-06
PPI,500,100,24,1.0,1.0,-0.011809879501150632,0.001148718329320028,0.012506833655750001,6.342425780781879e-09
Classical,500,100,24,1.0,,-0.011809879501150632,0.2554037841285203,1.8247065220881582,1.5951316914531055e-06
PPI,500,100,25,1.0,1.0,-0.011809879501150632,0.0010551658487566295,0.009717644296667837,3.405980825313447e-09
Classical,500,100,25,1.0,,-0.011809879501150632,0.25385997534493626,1.9134757010759254,7.21137475944711e-11
PPI,500,100,26,1.0,1.0,-0.011809879501150632,0.001026370548425317,0.009285187149410705,9.807800710880773e-08
Classical,500,100,26,1.0,,-0.011809879501150632,0.2613475269014159,1.847028936701996,4.1261898651910165e-06
PPI,500,100,27,1.0,1.0,-0.011809879501150632,0.001089369897130299,0.011614818768206334,2.467010073116439e-10
Classical,500,100,27,1.0,,-0.011809879501150632,0.260556905514937,1.5014609710319469,8.740599177744216e-06
PPI,500,100,28,1.0,1.0,-0.011809879501150632,0.0010349631428969931,0.007770414974885239,1.0144555943766441e-10
Classical,500,100,28,1.0,,-0.011809879501150632,0.2643341308809925,1.707547255559569,7.777178813976914e-05
PPI,500,100,29,1.0,1.0,-0.011809879501150632,0.0010224787716310835,0.01005436997040158,9.620299770447307e-10
Classical,500,100,29,1.0,,-0.011809879501150632,0.2672195434034713,1.7126479883984127,1.6772740381411186e-05
PPI,1000,100,0,1.0,1.0,0.0021888510396606124,0.0010737129312065196,0.011821653533909567,1.7294550727330022e-09
Classical,1000,100,0,1.0,,0.0021888510396606124,0.29783707530643305,1.7513057369881377,2.7608823729112924e-06
PPI,1000,100,1,1.0,1.0,0.0021888510396606124,0.0010964324815479428,0.01510993633546043,5.824151876782349e-10
Classical,1000,100,1,1.0,,0.0021888510396606124,0.3039043284628126,1.7998220205905344,1.4665498948442125e-06
PPI,1000,100,2,1.0,1.0,0.0021888510396606124,0.0010595939546617613,0.013624149161617829,5.212944958821466e-10
Classical,1000,100,2,1.0,,0.0021888510396606124,0.30523600781265336,1.4697191394114228,2.7842192196073506e-09
PPI,1000,100,3,1.0,1.0,0.0021888510396606124,0.0010265271118054596,0.012456357268981902,1.8073160335094204e-11
Classical,1000,100,3,1.0,,0.0021888510396606124,0.2895244165631616,1.6296930787172204,4.874070733607102e-08
PPI,1000,100,4,1.0,1.0,0.0021888510396606124,0.001072231018653202,0.010663184108211512,1.8133864392034076e-10
Classical,1000,100,4,1.0,,0.0021888510396606124,0.3022843499751482,1.877354965053088,1.911972250305863e-07
PPI,1000,100,5,1.0,1.0,0.0021888510396606124,0.0010230832140945714,0.009538175621792645,2.3921580522420183e-10
Classical,1000,100,5,1.0,,0.0021888510396606124,0.30025736428175775,1.616274726908495,1.0813074979552709e-07
PPI,1000,100,6,1.0,1.0,0.0021888510396606124,0.0010174668927202953,0.011527191866917428,1.397619048910968e-09
Classical,1000,100,6,1.0,,0.0021888510396606124,0.2964622057655422,1.5806068359932728,3.164159688645311e-08
PPI,1000,100,7,1.0,1.0,0.0021888510396606124,0.0010952704229164184,0.01835704928114484,1.3237239456039022e-09
Classical,1000,100,7,1.0,,0.0021888510396606124,0.30052315578607647,1.9858583754343802,5.550010137745944e-06
PPI,1000,100,8,1.0,1.0,0.0021888510396606124,0.001060550539652218,0.015476168494838228,2.8856372169524648e-09
Classical,1000,100,8,1.0,,0.0021888510396606124,0.30244103801632105,1.443970713673005,2.4169359837278e-06
PPI,1000,100,9,1.0,1.0,0.0021888510396606124,0.0010163875114169618,0.010525172930553064,5.27338984636208e-12
Classical,1000,100,9,1.0,,0.0021888510396606124,0.30362679201774245,1.6570072358791137,3.495767600811698e-06
PPI,1000,100,10,1.0,1.0,0.0021888510396606124,0.0010444925537175958,0.011668015197254791,4.650886509989219e-09
Classical,1000,100,10,1.0,,0.0021888510396606124,0.2931904968997302,1.8268373478108357,1.6453294141474598e-07
PPI,1000,100,11,1.0,1.0,0.0021888510396606124,0.0010739496689677272,0.012731233427612036,1.7278255699057872e-10
Classical,1000,100,11,1.0,,0.0021888510396606124,0.29626492944399,1.5130419910782518,1.0647678544945857e-09
PPI,1000,100,12,1.0,1.0,0.0021888510396606124,0.0010376404377508562,0.012024693697159907,1.0587003479433087e-10
Classical,1000,100,12,1.0,,0.0021888510396606124,0.29954092437692864,1.5560972173454564,7.326865307130382e-07
PPI,1000,100,13,1.0,1.0,0.0021888510396606124,0.0010750291782758569,0.011760629636645425,2.358247658196054e-09
Classical,1000,100,13,1.0,,0.0021888510396606124,0.29530368003083507,2.081619250059309,1.4282311289413668e-08
PPI,1000,100,14,1.0,1.0,0.0021888510396606124,0.0009947084652681228,0.01427173832008811,1.2312174235692802e-10
Classical,1000,100,14,1.0,,0.0021888510396606124,0.29727294107438845,1.7148131109492843,3.8559204810692337e-07
PPI,1000,100,15,1.0,1.0,0.0021888510396606124,0.0010602488896869994,0.017073716443487492,1.4595635421742092e-10
Classical,1000,100,15,1.0,,0.0021888510396606124,0.2939421968915284,1.772567639014139,1.2185424221005521e-06
PPI,1000,100,16,1.0,1.0,0.0021888510396606124,0.0010673703187235983,0.012829628918614127,3.3371150207581225e-09
Classical,1000,100,16,1.0,,0.0021888510396606124,0.2975209655790405,1.8007753873276153,1.1594924458064843e-07
PPI,1000,100,17,1.0,1.0,0.0021888510396606124,0.0010533885884730831,0.012696385608851004,2.3593359187186827e-11
Classical,1000,100,17,1.0,,0.0021888510396606124,0.2959731656322177,1.6996606698003038,7.422202245452268e-07
PPI,1000,100,18,1.0,1.0,0.0021888510396606124,0.0010505009821421823,0.011908628815141367,9.434314586126907e-11
Classical,1000,100,18,1.0,,0.0021888510396606124,0.3092633453690612,1.5889760431074762,2.4331758328476634e-06
PPI,1000,100,19,1.0,1.0,0.0021888510396606124,0.001038043437250785,0.013964720720257411,1.809902107046982e-08
Classical,1000,100,19,1.0,,0.0021888510396606124,0.2969736447970096,1.793778645252641,5.0051381531086814e-08
PPI,1000,100,20,1.0,1.0,0.0021888510396606124,0.001064097863795558,0.014119370528946585,5.6443133495033415e-09
Classical,1000,100,20,1.0,,0.0021888510396606124,0.2997890811942739,1.673759476423027,1.3614910297759399e-08
PPI,1000,100,21,1.0,1.0,0.0021888510396606124,0.0010393946157069105,0.016804233861621738,1.1201489328348847e-11
Classical,1000,100,21,1.0,,0.0021888510396606124,0.3051499645339894,1.6445441430275114,3.4926444383449515e-06
PPI,1000,100,22,1.0,1.0,0.0021888510396606124,0.0010212693176448408,0.013402543230366961,1.6729345291244784e-09
Classical,1000,100,22,1.0,,0.0021888510396606124,0.29477304338870436,1.8296912521915956,1.5378236492228593e-08
PPI,1000,100,23,1.0,1.0,0.0021888510396606124,0.001050992499818917,0.012721459581087405,1.4006408968212858e-10
Classical,1000,100,23,1.0,,0.0021888510396606124,0.29402895649370064,1.76660710271499,8.514483871353132e-08
PPI,1000,100,24,1.0,1.0,0.0021888510396606124,0.0010535017302634485,0.013386470962674,2.1365204880061837e-10
Classical,1000,100,24,1.0,,0.0021888510396606124,0.2985916133088281,1.629930309529357,6.872625835444967e-09
PPI,1000,100,25,1.0,1.0,0.0021888510396606124,0.0010182915191384477,0.015288123579949662,1.4292622272485538e-11
Classical,1000,100,25,1.0,,0.0021888510396606124,0.30225837968356206,1.7349284268684975,1.998260258246122e-06
PPI,1000,100,26,1.0,1.0,0.0021888510396606124,0.001026524961331537,0.011217304450686949,1.6587798115455554e-10
Classical,1000,100,26,1.0,,0.0021888510396606124,0.2945949233481497,1.7663363224605368,1.5713087330175623e-06
PPI,1000,100,27,1.0,1.0,0.0021888510396606124,0.0010532002797961127,0.016147420029217437,4.485037683899294e-10
Classical,1000,100,27,1.0,,0.0021888510396606124,0.30200879627173444,1.7477321298616875,1.2119028322857145e-07
PPI,1000,100,28,1.0,1.0,0.0021888510396606124,0.001014701077395614,0.01213308927218102,1.7131761605708749e-10
Classical,1000,100,28,1.0,,0.0021888510396606124,0.30434991444573195,1.7798871536901224,4.864694582245572e-08
PPI,1000,100,29,1.0,1.0,0.0021888510396606124,0.0010487954137398203,0.01082604216332296,4.592729477677681e-09
Classical,1000,100,29,1.0,,0.0021888510396606124,0.2991077170046265,1.7265452351259258,1.7397198139006453e-09
